text,sentiment,text_clean
modi says india now “space power” after shooting down satellite,-1,modi says india now “space power” after shooting down satellite
dumbo what wrong with polarized pollssame happens every democracyit only means indian democracy has matured when opposition themselves repeat parrot what pakistan remarks word word voters have realised giving ready made victory modi,-1,dumbo what wrong with polarized pollssame happens every democracyit only means indian democracy has matured when opposition themselves repeat parrot what pakistan remarks word word voters have realised giving ready made victory modi
its confidence over confidence requested modi work harder achieve goal instead believe that public made mind its indian public dont know what moment launch twist,-1,its confidence over confidence requested modi work harder achieve goal instead believe that public made mind its indian public dont know what moment launch twist
will nirav modi vijay mallya share the same arthur road jail judge thinks … the youth wing indias main opposition congress … space jail along with indias liquor baron vijay … 2018 london england india seeking extradite … the india… ,-1,will nirav modi vijay mallya share the same arthur road jail judge thinks … the youth wing indias main opposition congress … space jail along with indias liquor baron vijay … 2018 london england india seeking extradite … the india…
religion your tagline post one video where modi speaking against muslims come out open politics why hiding behind journlism and speaking lies yes pak and terrorism problem,-1,religion your tagline post one video where modi speaking against muslims come out open politics why hiding behind journlism and speaking lies yes pak and terrorism problem
was modi who went ate biriyani pakistan tarun gogoi congratulations has another addition his list idiots ,-1,was modi who went ate biriyani pakistan tarun gogoi congratulations has another addition his list idiots
rahul gandhi alleged that prime minister narendra modi was trying make two hindustan ,-1,rahul gandhi alleged that prime minister narendra modi was trying make two hindustan
have seen modis earlier speeches from 201314 where was questioning the previous govt but than all those questions fall flat when pulwama happened because these questions fall directly into the cabins our army officers intelligence agencies,-1,have seen modis earlier speeches from 201314 where was questioning the previous govt but than all those questions fall flat when pulwama happened because these questions fall directly into the cabins our army officers intelligence agencies
promise being made this election just ridiculous idiotic was insinuating that every indian will get credit lac when brings blackmoney back after winning lokshabha back 2014 politicians are becoming chronic lately,-1,promise being made this election just ridiculous idiotic was insinuating that every indian will get credit lac when brings blackmoney back after winning lokshabha back 2014 politicians are becoming chronic lately
madame department space directly under modi such useless objections have know hate modi jimagar kabhi toh unbiased rahiye call yourself journalist ,-1,madame department space directly under modi such useless objections have know hate modi jimagar kabhi toh unbiased rahiye call yourself journalist
bad news gut feeling modi will pull through bjp will ,-1,bad news gut feeling modi will pull through bjp will
when defeated ensuing elections will find that majority indians are antinational per his definition and patriotic people like him are small minority ,-1,when defeated ensuing elections will find that majority indians are antinational per his definition and patriotic people like him are small minority
too feel today india suffering from india shining nightmare long list 2014 promises are waiting for modishah every city even our lord ram has been pushed back long waiting list,-1,too feel today india suffering from india shining nightmare long list 2014 promises are waiting for modishah every city even our lord ram has been pushed back long waiting list
producing film ‘ narendra modi’ wrong then doing announcement from congress giving 12k indian this too passive breaking rule elections commission just think deeply,-1,producing film ‘ narendra modi’ wrong then doing announcement from congress giving 12k indian this too passive breaking rule elections commission just think deeply
congress party not only dangerous power but also opposition they make such dole promises that even party power has compete with hence india spends money nonproductive schemes modi right congress hategi tabhi garibi mitegi,-1,congress party not only dangerous power but also opposition they make such dole promises that even party power has compete with hence india spends money nonproductive schemes modi right congress hategi tabhi garibi mitegi
typical bhakt logic with india and that’ all matters regarding being with modi not ’ personal choice depending upon the impression has created the last years ,-1,typical bhakt logic with india and that’ all matters regarding being with modi not ’ personal choice depending upon the impression has created the last years
government 2018 tak 69350 crore black money recover hai baki kabhi isse pehle cwg colgate scams time itne questions pooch lete  ,-1,government 2018 tak 69350 crore black money recover hai baki kabhi isse pehle cwg colgate scams time itne questions pooch lete
just not modi india you hate him agree but atleast respect the position helds rather than doing shitty articles give storng condemnation msg,-1,just not modi india you hate him agree but atleast respect the position helds rather than doing shitty articles give storng condemnation msg
concerned about whats going elsewhere yet doing nothing about the rampant hinduphobia within india itself what has modi done how come ram temple hasnt been built how come textbooks havent changed why scared what the antihindus will think say lazy cowards,-1,concerned about whats going elsewhere yet doing nothing about the rampant hinduphobia within india itself what has modi done how come ram temple hasnt been built how come textbooks havent changed why scared what the antihindus will think say lazy cowards
being anti modi means nothing and you people are not challenging the root cause all,-1,being anti modi means nothing and you people are not challenging the root cause all
modishah made complete mess this one ,-1,modishah made complete mess this one
"india became 4th nation
 possess satellite shooting down weapons system
❣️thanks narendra modi❣️ ",-1,india became 4th nation possess satellite shooting down weapons system ❣️thanks narendra modi❣️
explains why shooting down satellite apart from being technology stride gives india new strategic weapon ,-1,explains why shooting down satellite apart from being technology stride gives india new strategic weapon
"has brought elections back basics
keep mind real issues jobunemploymenteducationhealth etc which are the only real issues rest all other issues are irrelevant common people villages ",-1,has brought elections back basics keep mind real issues jobunemploymenteducationhealth etc which are the only real issues rest all other issues are irrelevant common people villages
modi misusing why you are scaring you are not indulge any wrong practices not need worry,-1,modi misusing why you are scaring you are not indulge any wrong practices not need worry
insane adolf hitler1933 unleashed terror jewish mathematician albert einstein 17101934 bane indian modi 2652014 traumatised almost all would mighthavebeens einsteins india his arrogant nazismawardees thwarted modis unlawful ascent pms,-1,insane adolf hitler1933 unleashed terror jewish mathematician albert einstein 17101934 bane indian modi 2652014 traumatised almost all would mighthavebeens einsteins india his arrogant nazismawardees thwarted modis unlawful ascent pms
that nda govt right track acknowledged modis policy empowering poor instead giving freebies the best policy giving away freebies poor will kill enterprise and induce parasitism them poor people must understand that nyay not good for them,-1,that nda govt right track acknowledged modis policy empowering poor instead giving freebies the best policy giving away freebies poor will kill enterprise and induce parasitism them poor people must understand that nyay not good for them
you are the correct path least one the waste leader bjp now moved dustbin jai modi ,-1,you are the correct path least one the waste leader bjp now moved dustbin jai modi
will dangerous for country modi isnt reelected hema malini will more dangerous rahul gandhi elected devjeet saha ,-1,will dangerous for country modi isnt reelected hema malini will more dangerous rahul gandhi elected devjeet saha
modi wave just left some the corrupt media channels ground level people are waiting hit them hard ,-1,modi wave just left some the corrupt media channels ground level people are waiting hit them hard
bad words for congress and and rahulgandhi here very sad had been bjp ruled state modi wud have received thousand abuses,-1,bad words for congress and and rahulgandhi here very sad had been bjp ruled state modi wud have received thousand abuses
"chowkidar much scared losing says people have made there mind vote for modi highest seats chest thumping usual
warren eyster says
like all vain men narcissitic arrogant had moments unreasonable confidence ",-1,chowkidar much scared losing says people have made there mind vote for modi highest seats chest thumping usual warren eyster says like all vain men narcissitic arrogant had moments unreasonable confidence
arnab shouting for land scam few lakhs rahul gandhi vadra why not shouting same way for jet airways for getting 100s crs loan though making loss why arun jaitley modi sbi chairman keen provide loan again will they same2lakhs ,-1,arnab shouting for land scam few lakhs rahul gandhi vadra why not shouting same way for jet airways for getting 100s crs loan though making loss why arun jaitley modi sbi chairman keen provide loan again will they same2lakhs
how fucking blind are people support chutiya like modi,-1,how fucking blind are people support chutiya like modi
campaign stifle voices truth sanity came modi the vicious ecosystem got threatened imagine this obnoxious creature has the audacity publicly threaten commoner imagine what would have been like when was ‘ service’ and ‘conducive’ environment,-1,campaign stifle voices truth sanity came modi the vicious ecosystem got threatened imagine this obnoxious creature has the audacity publicly threaten commoner imagine what would have been like when was ‘ service’ and ‘conducive’ environment
"india had india would not have been fighting for but 2014
moral now now instead where you are afraid you can fight from karachi ",-1,india had india would not have been fighting for but 2014 moral now now instead where you are afraid you can fight from karachi
bjps candidate from bengaluru south shamefully says you are with modi you are with india you are against modi you are antiindia dear with india and thus against modi and india will certainly never modi ,-1,bjps candidate from bengaluru south shamefully says you are with modi you are with india you are against modi you are antiindia dear with india and thus against modi and india will certainly never modi
learn respct pmpresidentarmy officerssm1 working hard udont become blind learn undrstnd who actually trying divide india modi against muslims wouldnt stoppd his speech azaan powerful muslim countries our side all because hon ,-1,learn respct pmpresidentarmy officerssm1 working hard udont become blind learn undrstnd who actually trying divide india modi against muslims wouldnt stoppd his speech azaan powerful muslim countries our side all because hon
get life height stupidity completely become blind modi bhakti please some google search will know she vijayalakshmi pandit she was sister nehru least spare sister brother relationship,-1,get life height stupidity completely become blind modi bhakti please some google search will know she vijayalakshmi pandit she was sister nehru least spare sister brother relationship
"theres other option
therefore only modi once again modi ",-1,theres other option therefore only modi once again modi
"would rather listen amartya sen than sadhguru would rather listen ravish than modi life precious
time limited
dont worship idiots encourage the foolish ",-1,would rather listen amartya sen than sadhguru would rather listen ravish than modi life precious time limited dont worship idiots encourage the foolish
why you want publicity people like this who dont like for them every person institution who praises work under current govt and they achieve any milestone for them its fake bcoz just they dont like all your ideology ,-1,why you want publicity people like this who dont like for them every person institution who praises work under current govt and they achieve any milestone for them its fake bcoz just they dont like all your ideology
nope not responsible for the poor uneducated decisions modi solely hold the responsibility for the quagmire has thrown india into,-1,nope not responsible for the poor uneducated decisions modi solely hold the responsibility for the quagmire has thrown india into
hope you justice gen hoodas report reading properly and understanding fully before speaking chances are might very similar modis current policy minus the rhetoric btw discussion debate ever held congress,-1,hope you justice gen hoodas report reading properly and understanding fully before speaking chances are might very similar modis current policy minus the rhetoric btw discussion debate ever held congress
actually modi never said would give lakhs said there’ enough money stashed that brought back could put 15lakh for each citizen the figure lakh highly exaggerated figure though,-1,actually modi never said would give lakhs said there’ enough money stashed that brought back could put 15lakh for each citizen the figure lakh highly exaggerated figure though
now enjoy stupid reactions modi meerut speech opposition,-1,now enjoy stupid reactions modi meerut speech opposition
are you going back the 2002 violence that followed terrorist attack which burned innocent people returning from their pilgrimage thats your proof bjpmodi the bad guys they had nothing with was predictable response,-1,are you going back the 2002 violence that followed terrorist attack which burned innocent people returning from their pilgrimage thats your proof bjpmodi the bad guys they had nothing with was predictable response
"
from nehru rahul gandhi family lying from past four generation poverty narendra modi via namo app ",-1,from nehru rahul gandhi family lying from past four generation poverty narendra modi via namo app
just shup who the fuck are you say you are not with modi then you are anti national having different political opinion has nothing with anti national,-1,just shup who the fuck are you say you are not with modi then you are anti national having different political opinion has nothing with anti national
karnataka incometax raids are underway multiple locations bengaluru hassan mandya mysuru dirty game has started should put jail all those officers sold modis hands ,-1,karnataka incometax raids are underway multiple locations bengaluru hassan mandya mysuru dirty game has started should put jail all those officers sold modis hands
dont support bjp and neither support modi but that doesnt make any less indian than you,-1,dont support bjp and neither support modi but that doesnt make any less indian than you
yes our respected modi the congress days are over sonia gandhi proved the worst congress person manmohan singh turned out “maun” singh how dare they belittle our nation turning blind eye scams treasons,-1,yes our respected modi the congress days are over sonia gandhi proved the worst congress person manmohan singh turned out “maun” singh how dare they belittle our nation turning blind eye scams treasons
bigger the lie bigger the politician modi will remembered worst leader india giving india totally wrong direction with style ,-1,bigger the lie bigger the politician modi will remembered worst leader india giving india totally wrong direction with style
louder for those the back india was never indira and india will certainly never modi ,-1,louder for those the back india was never indira and india will certainly never modi
modi likes shoot down lowflying satellites think sushma jaitley rajnath gadkari smriti should given extra protection,-1,modi likes shoot down lowflying satellites think sushma jaitley rajnath gadkari smriti should given extra protection
you need some research how bullet train works generations mah and guj will pay for bullet train for which modi earlier said that its not useful but its just showoff,-1,you need some research how bullet train works generations mah and guj will pay for bullet train for which modi earlier said that its not useful but its just showoff
zero effect voters they will vote decisively against however hard tries ,-1,zero effect voters they will vote decisively against however hard tries
201718 the loans given under mudra had average size 24840 this completely inadequate even create one job let alone continuously being claimed modi ,-1,201718 the loans given under mudra had average size 24840 this completely inadequate even create one job let alone continuously being claimed modi
"modi just seven years late
",-1,modi just seven years late
its desperate modi selfpatting win the election and the newspapertvsm vajpayee chose press conference announce india has become nuclear power 1998 but this twisted man gave formal televised address announce extraterrestrial adventure,-1,its desperate modi selfpatting win the election and the newspapertvsm vajpayee chose press conference announce india has become nuclear power 1998 but this twisted man gave formal televised address announce extraterrestrial adventure
"sir please see this news paper cutting are very unhappy and sad that minority ministry modi govt giving lac rupee per muslim students for coaching and competition exams
what great cheating with hindus who are suffering food and medical treatment
who gaddar ",-1,sir please see this news paper cutting are very unhappy and sad that minority ministry modi govt giving lac rupee per muslim students for coaching and competition exams what great cheating with hindus who are suffering food and medical treatment who gaddar
they are mad not for supporting modi which clearly not but cause you are set play nnarayan who was devastated destroyed and harassed this very left ecosystem movie going further lower their influence which already all time low believe ,-1,they are mad not for supporting modi which clearly not but cause you are set play nnarayan who was devastated destroyed and harassed this very left ecosystem movie going further lower their influence which already all time low believe
dont you watch your fav channelsuch republic where they show how modi travels different countriesthose countries are this planet well for your information shocked well maybe you shud try educate yourself more rather than commenting others tweets like bug,-1,dont you watch your fav channelsuch republic where they show how modi travels different countriesthose countries are this planet well for your information shocked well maybe you shud try educate yourself more rather than commenting others tweets like bug
those who hate modi common they are corruptscunningcommunal work for muslim population growth infiltrationcastist anti hindungo,-1,those who hate modi common they are corruptscunningcommunal work for muslim population growth infiltrationcastist anti hindungo
except and few bhaktsthe country has unanimously got their live definition ‘dictator’ thanq modi,-1,except and few bhaktsthe country has unanimously got their live definition ‘dictator’ thanq modi
this not reality but the reality whole muslim community they shout loudly abt modi but whenever asked crossquestion they said one thing killed muslims during 2002 that what sayin bitchand modi delivered that development that past any government didnt did,-1,this not reality but the reality whole muslim community they shout loudly abt modi but whenever asked crossquestion they said one thing killed muslims during 2002 that what sayin bitchand modi delivered that development that past any government didnt did
“ has been month pakistan still busy counting the dead bodies and our rivals here are asking for proof”prime minister narendra modi told election rally jeypore odisha ,-1,“ has been month pakistan still busy counting the dead bodies and our rivals here are asking for proof”prime minister narendra modi told election rally jeypore odisha
only rahul can hug poor not modi ,-1,only rahul can hug poor not modi
oif its just usual message then why would modi announce just half hour before doesnt look like normal address,-1,oif its just usual message then why would modi announce just half hour before doesnt look like normal address
"recieving much hate cause called modi shri sir and then they will call others andhbhakts and cry about foe
fcking extremist",-1,recieving much hate cause called modi shri sir and then they will call others andhbhakts and cry about foe fcking extremist
has bjp delivered atleast few its core promises today modi would not have been asking votes the name pakistan and terrorism that itself admission failure deliver,-1,has bjp delivered atleast few its core promises today modi would not have been asking votes the name pakistan and terrorism that itself admission failure deliver
did nothing for this nation every thing from alpha omega only modi made for this country other party fms contributed this country only modijetlyamit shah did every thingchowkidar chowkidarchowkidars ambanis come guys have some basic sens,-1,did nothing for this nation every thing from alpha omega only modi made for this country other party fms contributed this country only modijetlyamit shah did every thingchowkidar chowkidarchowkidars ambanis come guys have some basic sens
have been traveling bihar for last one month they all with 300 less but the agenda modi has failed them big time they feel big crook its all mahagtbandhan now where bjp still has some hold few seats ,-1,have been traveling bihar for last one month they all with 300 less but the agenda modi has failed them big time they feel big crook its all mahagtbandhan now where bjp still has some hold few seats
dont worry let modi come your back would red and black some already having you can ask,-1,dont worry let modi come your back would red and black some already having you can ask
jobs created upa1 was less than the jobs created atal government number jobs created upa2 was created only years modi government the above was derived from epfo esis and nps data ’ wrong please tell how many jobs were created your years,-1,jobs created upa1 was less than the jobs created atal government number jobs created upa2 was created only years modi government the above was derived from epfo esis and nps data ’ wrong please tell how many jobs were created your years
but youre gadha no1 you have idea what youre talking about indias enemy no1 china dushmani barabaro saath kiya jata hai and modi choose the weakest enemy like pakistan its sign weak leader aur coward hai phir bhi fauji hai,-1,but youre gadha no1 you have idea what youre talking about indias enemy no1 china dushmani barabaro saath kiya jata hai and modi choose the weakest enemy like pakistan its sign weak leader aur coward hai phir bhi fauji hai
just hunger for jobs jobs and jobs will not open doors employmentwhat required both public and private sectors open doors for young entrepreneurs buisness farming hotelfoods and infra structure sectorspm modi has made base lets build ,-1,just hunger for jobs jobs and jobs will not open doors employmentwhat required both public and private sectors open doors for young entrepreneurs buisness farming hotelfoods and infra structure sectorspm modi has made base lets build
credit please because sonia and congress killed the capability and motivation scientists and defense forces not allowing them demonstrate their capabilities modi must credited for ,-1,credit please because sonia and congress killed the capability and motivation scientists and defense forces not allowing them demonstrate their capabilities modi must credited for
they hate modi who unleashed the armed forces free from bureaucrats act their own the nations interest they dont hate the people who called our army chief sadak goonda displaying their loathe for modi they are only shaming trivializing themselves,-1,they hate modi who unleashed the armed forces free from bureaucrats act their own the nations interest they dont hate the people who called our army chief sadak goonda displaying their loathe for modi they are only shaming trivializing themselves
imaigine how people felt cheated for almost years your handlers now they are not willing loose modi any cost ,-1,imaigine how people felt cheated for almost years your handlers now they are not willing loose modi any cost
just last year isro failed launch satellite due radio contact failure and the whole gaddaar mandali blamed modi now when drdo’ scientists have successfully accomplished mission shakti instead crediting them congress crediting nehru for establishing drdo ,-1,just last year isro failed launch satellite due radio contact failure and the whole gaddaar mandali blamed modi now when drdo’ scientists have successfully accomplished mission shakti instead crediting them congress crediting nehru for establishing drdo
‘ fake never issued signed any such statement’ says filmmaker whose name appears signatory antimodi statement via ,-1,‘ fake never issued signed any such statement’ says filmmaker whose name appears signatory antimodi statement via
you will shocked see how india changed last years highest ever cow related violence and mob lynching’ after modi became india spend data ,-1,you will shocked see how india changed last years highest ever cow related violence and mob lynching’ after modi became india spend data
this era defence minister has clue about balakot the home minister didn’ know the kashmir assembly was going dissolved the previous defence minister didn’ know modi was rewriting the rafale contract the had idea about demonetisation antony can take number ,-1,this era defence minister has clue about balakot the home minister didn’ know the kashmir assembly was going dissolved the previous defence minister didn’ know modi was rewriting the rafale contract the had idea about demonetisation antony can take number
game changer not modi but nationalism now modi symbol nationalisms,-1,game changer not modi but nationalism now modi symbol nationalisms
modi ghar ghar every indian who contributing towards making our country corruption free working like chowkidar against corrupt every indian who loves the nation supports its fellow citizen chowkidar let all part this collective,-1,modi ghar ghar every indian who contributing towards making our country corruption free working like chowkidar against corrupt every indian who loves the nation supports its fellow citizen chowkidar let all part this collective
the official count muslims killed riots 790 around 400 hindus too were killed the riots and godhra train burning there have been convictions fast track courts then modi was grilled and summoned sit riot has taken place after 2002 gujarat,-1,the official count muslims killed riots 790 around 400 hindus too were killed the riots and godhra train burning there have been convictions fast track courts then modi was grilled and summoned sit riot has taken place after 2002 gujarat
raga knows congress cannot get majority brought this scheme only maximize the damage modi worst case even coalition govt comes raga will esc stating didnt get majority like rafale its camouflage with singular objective bleed modi votes much possible ,-1,raga knows congress cannot get majority brought this scheme only maximize the damage modi worst case even coalition govt comes raga will esc stating didnt get majority like rafale its camouflage with singular objective bleed modi votes much possible
tarungogoi modi government has miserably failed keep his promises that had made the people assam modi lured the voters stating himself chaiwala but has done nothing the teatribe community,-1,tarungogoi modi government has miserably failed keep his promises that had made the people assam modi lured the voters stating himself chaiwala but has done nothing the teatribe community
•yeah toh modi chal thi election say phele announcement karne •hume proof dikhaoo yeah toh phir bhi other political parties say sunn nay koh milega ,-1,•yeah toh modi chal thi election say phele announcement karne •hume proof dikhaoo yeah toh phir bhi other political parties say sunn nay koh milega
will invite for narendra modi movie promotions produced may not able host real ,-1,will invite for narendra modi movie promotions produced may not able host real
trying sarcastic after being caught red handed peddling half truths the refuge the coward while modi may have tried extract political mileage out scientific achievement drdo isro journalists are doing better their blind hatred for man,-1,trying sarcastic after being caught red handed peddling half truths the refuge the coward while modi may have tried extract political mileage out scientific achievement drdo isro journalists are doing better their blind hatred for man
"thats what happen when you mess with pakistanis
well the way made his fellow indians foolthe way started compeign against congress aap and every political party speaking against modi bjp and pretending fighting the war against anti nationalistshe deserved",-1,thats what happen when you mess with pakistanis well the way made his fellow indians foolthe way started compeign against congress aap and every political party speaking against modi bjp and pretending fighting the war against anti nationalistshe deserved
lesson run pro poor pro farmer pro indian government don’ what modi did िी ,-1,lesson run pro poor pro farmer pro indian government don’ what modi did िी
